Type,Type_specific,Species,Tag,Location of capture,d15N,d13C,percN,percC,Collector,Year collected,Yr_restore,Rest_age,Burn,Sex,Age,Repro,Weight_g,tl_mm,rhf_mm,bl_mm,month,day,Bison,C_N
Small mammal,,P.man,2940,FC,5.54,-18.07,15.29,45.25,Sarah N,2018,2006.5,11.5,Burned,M,SA,NA,29.5,58,17,54,7,25,No bison,3.358877086
Small mammal,,P.man,2940,FC,5.59,-18.77,13.18,44.27,Angelica B,2018,2006.5,11.5,Burned,M,SA,NA,29.5,58,17,54,7,25,No bison,2.959450621
Small mammal,,P.man,2941,L,2.3,-12.65,13.45,44.49,Angelica B,2019,2011,8,Burned,M,A,NA,27,45,15,55,4,23,Bison,3.307806691
Small mammal,,P.man,2944,SB,7.22,-21.04,13.51,45.84,Angelica B,2019,2009,10,Burned,M,SA,NA,25,44,14,53,4,9,No bison,3.393042191
Small mammal,,P.man,2947,TC,8.36,-10.84,13.35,45.46,Danielle D,2018,2002.5,15.5,Burned,M,A,NA,31,49,17,62,4,21,No bison,3.405243446
Small mammal,,P.leu,2954,TCR,2.72,-17.25,12.21,42.36,Angelica B,2019,C,50,Unburned,M,A,NA,35,64,20,66,4,8,No bison,3.469287469
Small mammal,,P.man,2955,L,8.51,-24.13,12.84,45.2,Angelica B,2019,2011,8,Burned,M,A,NA,26,44,14,52,6,12,Bison,3.520249221
Small mammal,,P.man,2959,CCE,5.01,-20.06,13.57,45.02,Angelica B,2019,2007,12,Burned,M,A,NA,27,40,15,51,4,13,No bison,3.31761238
Small mammal,,P.leu,2960,WH,3.92,-23.26,13.5,45.6,Angelica B,2019,1992,27,Burned,M,SA,NA,26,71,17,56,6,14,Bison,3.377777778
Small mammal,,M.och,2964,WH,3,-25.34,12.22,45.04,Danielle D,2018,1992,26,Unburned,F,A,NA,42,36,22,65,4,18,Bison,3.685761047
Small mammal,,,2965,,5,-18.06,11.81,48.35,Angelica B,2019,,,,,,,,,,,,,,
Small mammal,,P.leu,2970,WH,2.76,-21.26,15.36,49.49,Danielle D,2018,1992,26,Unburned,M,A,NA,37,66.5,21,64,4,18,Bison,3.222005208
Small mammal,,P.man,2972,HL,6.03,-21.61,14.19,45.34,Sarah N,2018,2001,17,Burned,F,A,NA,32.5,57,18,55,7,26,Bison,3.195207893
Small mammal,,P.leu,2973,HPW,2.37,-23.95,13.16,45.37,Angelica B,2018,2008,10,Burned,F,A,NA,34.5,72,21,62,7,24,Bison,3.447568389
Small mammal,,P.leu,2973,HPW,4.49,-23.46,13.92,46.41,Angelica B,2018,2008,10,Burned,F,A,NA,34.5,72,21,62,7,24,Bison,3.334051724
Small mammal,,P.leu,2974,TCEX,6.71,-20.28,13.37,44.23,Danielle D,2018,2002.5,15.5,Unburned,F,A,P,50,77,21,66,4,20,No bison,3.30815258
Small mammal,,P.man,2975,HF,5.18,-23.71,13.41,44.6,Angelica B,2019,2013,6,Unburned,F,A,PL,30,51,15,55,6,11,Bison,3.325876212
Small mammal,,P.leu,2979,CCE,3.4,-18.34,12.84,43.34,Sarah N,2018,2007,11,Unburned,M,SA,NA,21.5,63,17,45,4,17,No bison,3.375389408
Small mammal,,P.leu,2982,TCEX,7.37,-10.29,13.45,45.38,Danielle D,2018,2002.5,15.5,Unburned,M,A,NA,35,70,21,69,4,21,No bison,3.373977695
Small mammal,,P.man,2987,TC,9.18,-10.52,12.89,43.76,Danielle D,2018,2002.5,15.5,Burned,M,A,NA,33,53,19,61,4,21,No bison,3.394879752
Small mammal,,P.man,2987,TC,7.15,-13.77,13.25,45.95,Sarah N,2018,2002.5,15.5,Burned,M,A,NA,33,53,19,61,4,21,No bison,3.467924528
Small mammal,,P.man,2988,HPN,5.82,-24.64,12.92,44.76,Angelica B,2019,2012,7,Unburned,F,SA,NA,26,56,13.5,52,6,10,Bison,3.464396285
Small mammal,,P.man,2992,HPN,4.62,-24.27,12.88,44.51,Angelica B,2019,2012,7,Unburned,M,A,NA,27,46,14,53,6,13,Bison,3.455745342
Small mammal,,P.man,2994,TC,7.9,-11.89,13.23,46.84,Angelica B,2018,2002.5,15.5,Burned,M,A,NA,30.5,57,17,57,10,3,No bison,3.540438398
